,index,Institute,Academic Program Name,Quota,Category,Gender,Opening Rank,Closing Rank,Round,Course Time,Degree Type,IIT,State
46438,46438,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,GEN,Gender-Neutral,1621,2304,6,4, bachelor of technology,1,Odisha
46439,46439,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,GEN,Female-only,3221,5008,6,4, bachelor of technology,1,Odisha
46440,46440,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,OPEN-PwD,Gender-Neutral,97,97,6,4, bachelor of technology,1,Odisha
46441,46441,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,EWS,Gender-Neutral,257,292,6,4, bachelor of technology,1,Odisha
46442,46442,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,EWS,Female-only,685,685,6,4, bachelor of technology,1,Odisha
46443,46443,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,OBC-NCL,Gender-Neutral,443,740,6,4, bachelor of technology,1,Odisha
46444,46444,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,OBC-NCL,Female-only,1244,2120,6,4, bachelor of technology,1,Odisha
46445,46445,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,OBC-NCL-PwD,Gender-Neutral,52,52,6,4, bachelor of technology,1,Odisha
46446,46446,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,SC,Gender-Neutral,240,439,6,4, bachelor of technology,1,Odisha
46447,46447,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,SC,Female-only,850,1329,6,4, bachelor of technology,1,Odisha
46448,46448,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,ST,Gender-Neutral,193,291,6,4, bachelor of technology,1,Odisha
46449,46449,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,ST,Female-only,462,462,6,4, bachelor of technology,1,Odisha
46450,46450,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,GEN,Gender-Neutral,2584,2918,6,5, bachelor and master of technology (dual degree),1,Odisha
46451,46451,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,GEN,Female-only,5150,5150,6,5, bachelor and master of technology (dual degree),1,Odisha
46452,46452,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,EWS,Gender-Neutral,415,415,6,5, bachelor and master of technology (dual degree),1,Odisha
46453,46453,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,OBC-NCL,Gender-Neutral,961,1062,6,5, bachelor and master of technology (dual degree),1,Odisha
46454,46454,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,OBC-NCL,Female-only,2251,2251,6,5, bachelor and master of technology (dual degree),1,Odisha
46455,46455,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,OBC-NCL-PwD,Gender-Neutral,63,63,6,5, bachelor and master of technology (dual degree),1,Odisha
46456,46456,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,SC,Gender-Neutral,265,265,6,5, bachelor and master of technology (dual degree),1,Odisha
46457,46457,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,ST,Gender-Neutral,378,378,6,5, bachelor and master of technology (dual degree),1,Odisha
46458,46458,Indian Institute of Technology Bhubaneswar,electrical engineering and m.tech power electronics and drives,AI,GEN,Gender-Neutral,5104,6606,6,5, bachelor and master of technology (dual degree),1,Odisha
46459,46459,Indian Institute of Technology Bhubaneswar,electrical engineering and m.tech power electronics and drives,AI,GEN,Female-only,12517,12517,6,5, bachelor and master of technology (dual degree),1,Odisha
46460,46460,Indian Institute of Technology Bhubaneswar,electrical engineering and m.tech power electronics and drives,AI,EWS,Gender-Neutral,1002,1002,6,5, bachelor and master of technology (dual degree),1,Odisha
46461,46461,Indian Institute of Technology Bhubaneswar,electrical engineering and m.tech power electronics and drives,AI,EWS,Female-only,2116,2116,6,5, bachelor and master of technology (dual degree),1,Odisha
46462,46462,Indian Institute of Technology Bhubaneswar,electrical engineering and m.tech power electronics and drives,AI,OBC-NCL,Gender-Neutral,2036,2640,6,5, bachelor and master of technology (dual degree),1,Odisha
46463,46463,Indian Institute of Technology Bhubaneswar,electrical engineering and m.tech power electronics and drives,AI,SC,Gender-Neutral,1664,1664,6,5, bachelor and master of technology (dual degree),1,Odisha
46464,46464,Indian Institute of Technology Bhubaneswar,electrical engineering and m.tech power electronics and drives,AI,ST,Gender-Neutral,833,833,6,5, bachelor and master of technology (dual degree),1,Odisha
46465,46465,Indian Institute of Technology Bhubaneswar,electrical engineering,AI,GEN,Gender-Neutral,4556,5877,6,4, bachelor of technology,1,Odisha
46466,46466,Indian Institute of Technology Bhubaneswar,electrical engineering,AI,GEN,Female-only,9244,12085,6,4, bachelor of technology,1,Odisha
46467,46467,Indian Institute of Technology Bhubaneswar,electrical engineering,AI,OPEN-PwD,Gender-Neutral,148,148,6,4, bachelor of technology,1,Odisha
46468,46468,Indian Institute of Technology Bhubaneswar,electrical engineering,AI,EWS,Gender-Neutral,729,889,6,4, bachelor of technology,1,Odisha
46469,46469,Indian Institute of Technology Bhubaneswar,electrical engineering,AI,EWS,Female-only,1648,1648,6,4, bachelor of technology,1,Odisha
46470,46470,Indian Institute of Technology Bhubaneswar,electrical engineering,AI,OBC-NCL,Gender-Neutral,1721,2200,6,4, bachelor of technology,1,Odisha
46471,46471,Indian Institute of Technology Bhubaneswar,electrical engineering,AI,OBC-NCL,Female-only,4548,5064,6,4, bachelor of technology,1,Odisha
46472,46472,Indian Institute of Technology Bhubaneswar,electrical engineering,AI,SC,Gender-Neutral,1061,1578,6,4, bachelor of technology,1,Odisha
46473,46473,Indian Institute of Technology Bhubaneswar,electrical engineering,AI,SC,Female-only,1348,1833,6,4, bachelor of technology,1,Odisha
46474,46474,Indian Institute of Technology Bhubaneswar,electrical engineering,AI,ST,Gender-Neutral,539,655,6,4, bachelor of technology,1,Odisha
46475,46475,Indian Institute of Technology Bhubaneswar,electrical engineering,AI,ST,Female-only,999,999,6,4, bachelor of technology,1,Odisha
46476,46476,Indian Institute of Technology Bhubaneswar,electronics and communication engineering,AI,GEN,Gender-Neutral,3006,4174,6,4, bachelor of technology,1,Odisha
46477,46477,Indian Institute of Technology Bhubaneswar,electronics and communication engineering,AI,GEN,Female-only,7307,8253,6,4, bachelor of technology,1,Odisha
